longitude,latitude,id,group,type,name
-73.977211,40.680949,5549150578,2302,fast_food,Artichoke Pizza
-73.9778518,40.6800126,5549176862,2302,fast_food,Pizzatown
-73.913595,40.7007144,5550427442,2516,butcher,Lopez Meat Market
-73.9997625,40.7166208,5550978111,2302,fast_food,Breakroom
-73.8502875,40.8277124,5552408327,2303,cafe,Johnny's Grand Cafe
-73.8614702,40.8306317,5552547512,2516,butcher,Al-Medina Meat Market
-73.9490546,40.7819292,5552548843,2501,supermarket,Key Food
-73.8618209,40.8326762,5552554635,2302,fast_food,Little Caesars
-73.9213264,40.7430383,5552644639,2302,fast_food,White Castle
-73.9175904,40.7049338,5554842593,2303,cafe,Barcey's
-73.9777735,40.6806283,5555271889,2302,fast_food,Momo Ramen
-73.9831765,40.6786912,5555271890,2302,fast_food,Taqueria Atoradero
-73.9586378,40.7721018,5555633086,2516,butcher,Fleishers Craft Butchery
-73.9566263,40.7755083,5555646640,2303,cafe,Irving Farm
-76.1877767,42.6010174,5557396943,2501,supermarket,Groton Ave Liquors
-73.9941909,40.6810156,5558007858,2303,cafe,Bagels Cafe
-73.9823413,40.5790069,5558393620,2302,fast_food,Papa John's
-73.860805,40.886811,5560524815,2501,supermarket,Foodverse Market
-73.9035351,40.7001248,5560571744,2501,supermarket,Associated Supermarket
-73.9041983,40.700208,5560580460,2302,fast_food,Bella Sera Pizza
-73.9047812,40.7005703,5560595942,2501,supermarket,Himalaya Food Market
-73.7794896,42.6642527,5560800028,2303,cafe,Brubacher Café
-73.9778138,40.680569,5562952076,2302,fast_food,Nacho Macho Taco
-73.8795054,40.8741457,5564024985,2516,butcher,Hillside Meat & Deli Market
-73.8793015,40.8750868,5564035840,2303,cafe,New Star Coffee Shop
-73.8884103,40.8687588,5564111949,2501,supermarket,Met
-73.888846,40.8350358,5564313695,2501,supermarket,Western Beef
-73.8768752,40.8404617,5564315079,2302,fast_food,McDonald's
-73.8879158,40.8374777,5565383217,2501,supermarket,C-Town
-73.88767,40.8379197,5565396744,2302,fast_food,Dunkin' Donuts
-73.891264,40.8247249,5565403590,2501,supermarket,Key Foods
-73.8917157,40.8245682,5565403722,2302,fast_food,Checkers
-73.892129,40.8243581,5565403880,2302,fast_food,Dunkin' Donuts
-73.9027307,40.8189006,5565405333,2501,supermarket,Real
-73.906501,40.6971191,5566990629,2516,butcher,Jeuri Live Poultry Inc
-73.9104947,40.69949,5567489944,2302,fast_food,McDonald's
-73.9114262,40.6993917,5567720591,2302,fast_food,KFC
